"routeuid","routeid","routename_zh_tw","routename_en","operatorid","operatorname","subrouteuid","subrouteid","subroutename_zh_tw","subroutename_en","direction","city","citycode","stopuid","stopid","stopname_zh_tw","stopname_en","stopsequence","positionlon","positionlat","geohash","stationuid","stationid","bearing","ivrno","loccitycode","loccityname_zh_tw","loccityname_en","loctowncode","loctownname_zh_tw","loctownname_en","updatetime","etl_dtm"
KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),"10320",高雄客運,KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),1,Kaohsiung,KHH,KHH101121132242,"101121132242",中正路底,underneath Zhongzheng Rd.,3,120.5879745483,23.0854892731,wsjg2496x,KHH5904,"5904",N,"1625",KHH,高雄市,Kaohsiung,"64000330",甲仙區,Jiaxian Dist,2025-07-24 01:22:01.000,2025-07-25 00:38:48.000
KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),"10320",高雄客運,KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),1,Kaohsiung,KHH,KHH101121132782,"101121132782",甲仙化石館,Jiasian Fossil Museum,4,120.5882415771,23.0916557312,wsjg259wt,KHH5906,"5906",N,"1622",KHH,高雄市,Kaohsiung,"64000330",甲仙區,Jiaxian Dist,2025-07-24 01:22:01.000,2025-07-25 00:38:48.000
KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),"10320",高雄客運,KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),1,Kaohsiung,KHH,KHH101121132792,"101121132792",四德橋,Sihde Bridge,5,120.5898361206,23.094329834,wsjg2h4y4,KHH5908,"5908",E,"1621",KHH,高雄市,Kaohsiung,"64000330",甲仙區,Jiaxian Dist,2025-07-24 01:22:01.000,2025-07-25 00:38:48.000
KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),"10320",高雄客運,KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),1,Kaohsiung,KHH,KHH101121132952,"101121132952",新羌埔,Sinciangpu,6,120.6009368896,23.1021957397,wsjg2mduj,KHH5909,"5909",NE,"1620",KHH,高雄市,Kaohsiung,"64000330",甲仙區,Jiaxian Dist,2025-07-24 01:22:01.000,2025-07-25 00:38:48.000
KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),"10320",高雄客運,KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),1,Kaohsiung,KHH,KHH101121133012,"101121133012",羌埔,Ciangpu,7,120.6017837524,23.1043319702,wsjg2q583,KHH5910,"5910",NE,"1617",KHH,高雄市,Kaohsiung,"64000330",甲仙區,Jiaxian Dist,2025-07-24 01:22:01.000,2025-07-25 00:38:48.000
KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),"10320",高雄客運,KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),1,Kaohsiung,KHH,KHH101121133032,"101121133032",中和,Jhonghe,8,120.602432251,23.1075973511,wsjg2qs58,KHH5911,"5911",N,"1616",KHH,高雄市,Kaohsiung,"64000330",甲仙區,Jiaxian Dist,2025-07-24 01:22:01.000,2025-07-25 00:38:48.000
KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),"10320",高雄客運,KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),1,Kaohsiung,KHH,KHH101121100982,"101121100982",關山里,Guanshan Village,9,120.6059646606,23.1125411987,wsjg2rw86,KHH2383,"2383",E,"13439",KHH,高雄市,Kaohsiung,"64000330",甲仙區,Jiaxian Dist,2025-07-24 01:22:01.000,2025-07-25 00:38:48.000
KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),"10320",高雄客運,KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),1,Kaohsiung,KHH,KHH101121133042,"101121133042",內芎蕉,Neicyongjiao,10,120.6118087769,23.1189422607,wsjg88dvd,KHH5912,"5912",NE,"1615",KHH,高雄市,Kaohsiung,"64000330",甲仙區,Jiaxian Dist,2025-07-24 01:22:01.000,2025-07-25 00:38:48.000
KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),"10320",高雄客運,KHH1121,"1121",JOY H21區間(那瑪夏-甲仙站),Joy H21Interval (Namasia-Jiasian),1,Kaohsiung,KHH,KHH101121133362,"101121133362",北勢坑,North shikeng,11,120.613067627,23.121471405,wsjg895u2,KHH5913,"5913",NE,"1614",KHH,高雄市,Kaohsiung,"64000330",甲仙區,Jiaxian Dist,2025-07-24 01:22:01.000,2025-07-25 00:38:48.000
KHH2061,"2061","168環西","168W Main Line","10350",漢程客運,KHH2061,"2061","168環西","168W Main Line",0,Kaohsiung,KHH,KHH10206136101,"10206136101",明誠路口(博愛二路),Mingcheng Rd. Intersection(Boai 2nd Rd.),9,120.3030548096,22.6615753174,wsj8ct6j0,KHH3706,"3706",S,"1128",KHH,高雄市,Kaohsiung,"64000020",鼓山區,Gushan Dist,2025-07-24 01:22:01.000,2025-07-25 00:38:48.000
