"city","routeuid","routeid","subrouteid","direction","sequence","fromstopid","tostopid","distance","updatetime","etl_dtm"
Kaohsiung,KHH100,"100","100",0,1,,"1001001781",,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,2,"1001001781","1001003081",454.02,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,3,"1001003081","1001008311",236.69,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,4,"1001008311","1001008321",282.99,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,5,"1001008321","1001008331",336.85,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,6,"1001008331","100100128221",158.43,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,7,"100100128221","1001008371",316.87,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,8,"1001008371","1001008401",287.56,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,9,"1001008401","1001008411",198.26,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,10,"1001008411","10010095351",377.32,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,11,"10010095351","1001001521",294.87,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,12,"1001001521","100100521",297.65,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,13,"100100521","10010095371",249.85,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,14,"10010095371","10010095391",185.81,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,15,"10010095391","10010095401",254.88,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,16,"10010095401","10010095411",387.91,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,17,"10010095411","10010095541",169.17,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,18,"10010095541","10010095551",193.45,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,19,"10010095551","10010095561",190.46,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,20,"10010095561","10010095771",298.99,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,21,"10010095771","1001007571",315.23,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,22,"1001007571","1001009071",243.35,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,23,"1001009071","1001007661",145.37,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,24,"1001007661","1001008591",339.01,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,25,"1001008591","10010095781",360.76,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,26,"10010095781","100100801",277.81,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,27,"100100801","10010025951",305.06,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,28,"10010025951","100100122871",183.98,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,29,"100100122871","10010095791",248.23,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,30,"10010095791","100100158451",336.62,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,31,"100100158451","100100158491",487.62,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,32,"100100158491","10010095931",685.87,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,33,"10010095931","100100158501",427.07,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,34,"100100158501","100100158511",691.49,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,35,"100100158511","100100158521",867.23,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,36,"100100158521","100100158531",251.0,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,37,"100100158531","100100158541",1118.35,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,38,"100100158541","100100158551",319.47,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,39,"100100158551","100100158581",420.84,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,40,"100100158581","100100158591",384.93,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,41,"100100158591","100100158601",221.63,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,42,"100100158601","100100158631",238.83,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",0,43,"100100158631","100100158641",,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,1,,"100100158652",,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,2,"100100158652","100100158662",434.53,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,3,"100100158662","100100158672",368.25,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,4,"100100158672","100100158692",386.96,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,5,"100100158692","100100158702",482.38,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,6,"100100158702","100100158712",347.77,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,7,"100100158712","100100158732",1037.59,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,8,"100100158732","100100158752",265.46,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,9,"100100158752","10010095962",1342.18,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,10,"10010095962","10010095982",312.49,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,11,"10010095982","1001004022",344.38,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,12,"1001004022","100100158762",691.79,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,13,"100100158762","100100158772",512.17,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,14,"100100158772","10010096042",264.2,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,15,"10010096042","100100122882",331.24,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,16,"100100122882","100100912",494.17,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,17,"100100912","10010096052",281.55,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,18,"10010096052","1001008792",340.39,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,19,"1001008792","1001007922",395.52,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,20,"1001007922","1001009092",104.82,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,21,"1001009092","1001007952",252.04,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
Kaohsiung,KHH100,"100","100",1,22,"1001007952","10010096202",324.23,"2024-11-18T16:00:09+08:00",2024-11-20 04:11:38.311
